"rep","flow","fao_group","max_scheda"
"52","2","6",1111
"52","2","7",111
"52","2","8",1111
"52","2","9",111
"52","2","A",1113
"52","1","1",1267
"52","1","2",1151
"52","1","3",1193
"52","1","4",1194
"52","1","5",1124
"52","1","6",114
"52","1","7",1113
"52","1","8",1113
"52","1","9",1112
"52","1","A",1113
"52","3","1",1134
"52","3","2",1122
"52","3","3",1125
"52","3","4",1154
"52","3","5",111
"52","3","6",1111
"52","3","8",1111
"52","3","9",111
"56","2","1",3582
"56","2","2",1559
"56","2","3",1713
"56","2","4",1394
"56","2","5",1206
"56","2","6",1112
"56","2","7",114
"56","2","8",1115
"56","2","9",1114
"56","2","A",1111
"56","1","1",3587
"56","1","2",1653
"56","1","3",1766
"56","1","4",1431
"56","1","5",1206
"56","1","6",1113
"56","1","7",114
"56","1","8",1115
"56","1","9",1114
"56","1","A",1111
"60","2","1",1127
"60","2","3",1121
"60","2","4",1118
"60","1","1",1391
"60","1","2",1169
"60","1","3",1209
"60","1","4",1194
"60","1","5",1161
"60","1","6",1114
"60","1","7",111
"60","1","8",1117
"60","1","9",1115
"60","1","A",1112
"64","2","1",111
"64","2","7",111
"64","2","8",111
"64","1","1",1184
"64","1","2",1127
"64","1","3",1129
"64","1","4",1118
"64","1","5",1117
"64","1","6",111
"64","1","7",111
"64","1","8",111
"64","1","9",1113
"64","1","A",1110
"68","2","1",1135
"68","2","2",1113
"68","2","4",1114
"68","2","A",1110
"68","1","1",1201
"68","1","2",1133
"68","1","3",1175
"68","1","4",1135
"68","1","5",1131
"68","1","6",1122
"68","1","7",1123
"68","1","8",1111
"68","1","9",1113
"68","1","A",1112
"68","3","4",1111
"70","2","1",1249
"70","2","2",1128
"70","2","3",1169
"70","2","4",1139
"70","2","5",1117
"70","2","7",111
"70","2","8",1112
"70","2","9",1113
"70","1","1",1627
"70","1","2",1174
"70","1","3",1332
"70","1","4",1284
"70","1","5",1179
"70","1","6",1128
"70","1","7",1121
"70","1","8",1122
"70","1","9",1121
"70","1","A",1117
"72","2","1",1199
"72","2","2",1136
"72","2","3",1143
"72","2","4",1142
"72","2","5",1133
"72","2","6",1112
"72","2","7",111
"72","2","8",1113
"72","2","9",1115
"72","1","1",1295
"72","1","2",1146
"72","1","3",1201
"72","1","4",1152
"72","1","5",1169
"72","1","6",1113
"72","1","7",111
"72","1","8",1114
"72","1","9",1118
"72","1","A",1112
"72","3","1",1115
"72","3","2",1111
"72","3","3",1114
"72","3","4",1115
"72","3","6",1111
"72","3","7",111
"76","2","1",1572
"76","2","2",1195
"76","2","3",1344
"76","2","4",1174
"76","2","5",1145
"76","2","6",1118
"76","2","7",1111
"76","2","8",1111
"76","2","9",1121
"76","2","A",1114
"76","1","1",1568
"76","1","2",1304
